Time (s)	Motor1 Throttle	Motor2 Throttle	Motor1 RPM	Motor2 RPM	Motor1 Current (A)	Motor2 Current (A)	Wind Speed (m/s)	Motor 1 Temp(C)	Motor 2 Temp(C)	LC 1 Temp(C)	LC 2 Temp(C)	Motor1 Fx (N)	Motor1 Fy (N)	Motor1 Thrust (N)	Motor1 Mx (Nm)	Motor1 My (Nm)	Motor1 Torque (Nm)	Motor2 Fx (N)	Motor2 Fy (N)	Motor2 Thrust (Nm)	Motor2 Mx (Nm)	Motor2 My (Nm)	Motor2 Torque (Nm)	Omega Anemometer (m/s)
0.99900	0.0000	0.0000	0.0000	0.0000	0.028012	0.072589	0.89260	26.594	30.425	27.436	27.833	-0.015248	-0.0050361	-0.027776	-0.000023073	0.00014605	-0.00018685	0.010157	0.015761	-0.016002	-0.00012666	-0.00066177	-0.00060029	NaN
2.0000	0.0000	0.0000	0.0000	0.0000	-0.018849	-0.0081211	0.89039	26.621	30.440	27.429	27.840	-0.015146	-0.0061761	-0.030532	0.000040093	0.00017163	-0.00020814	0.013071	0.012532	-0.019213	0.000033145	-0.00075335	-0.00070332	NaN
3.0000	0.0000	0.0000	0.0000	0.0000	-0.026707	0.025342	0.88798	26.622	30.451	27.435	27.834	-0.017027	-0.0064762	-0.036621	0.000019001	0.00022640	-0.00013811	0.012655	0.014830	-0.021163	-0.00027093	-0.00055068	-0.00083867	NaN
4.0010	0.0000	0.0000	0.0000	0.0000	0.0033856	0.037895	0.89095	26.620	30.495	27.418	27.841	-0.018861	-0.0069520	-0.039047	-0.000044855	0.00023978	-0.00023159	0.014724	0.019699	-0.020686	-0.000054943	-0.00092097	-0.00079448	NaN
4.9980	0.0000	0.0000	0.0000	0.0000	0.031302	0.020868	0.89084	26.640	30.498	27.439	27.814	-0.019948	-0.0084053	-0.037566	-0.00012437	0.00018082	-0.00036148	0.013318	0.015670	-0.026992	-0.00018572	-0.00084786	-0.00096121	NaN
5.9990	0.0000	0.0000	0.0000	0.0000	-0.028985	0.000074783	0.88795	26.667	30.499	27.436	27.842	-0.021028	-0.0095445	-0.042781	-0.000045542	0.00014398	-0.00032438	0.014355	0.019174	-0.029274	-0.00020865	-0.00098108	-0.0010192	NaN
6.9990	0.0000	0.0000	0.0000	0.0000	-0.14169	-0.027014	0.89083	26.663	30.531	27.434	27.818	-0.022481	-0.0092786	-0.047396	-0.000070230	0.00026323	-0.00030787	0.013088	0.022407	-0.029099	-0.000082189	-0.00090300	-0.0010824	NaN
8.0010	0.0000	0.0000	0.0000	0.0000	-0.059129	0.072954	0.88916	26.695	30.539	27.422	27.822	-0.025234	-0.0093549	-0.056403	-0.000092450	0.00033838	-0.00027360	0.014245	0.024739	-0.033042	-0.00011317	-0.0011078	-0.0011225	NaN
9.0000	0.0000	0.0000	0.0000	0.0000	0.037515	-0.030033	0.89111	26.701	30.553	27.415	27.807	-0.026110	-0.010788	-0.060960	-0.00014189	0.00033803	-0.00022707	0.020833	0.019731	-0.035778	-0.00027825	-0.0014967	-0.00085263	NaN
9.9990	0.0000	0.0000	0.0000	0.0000	-0.051857	-0.048272	0.89070	26.729	30.573	27.416	27.831	-0.028432	-0.011379	-0.062284	-0.00014889	0.00034590	-0.00031170	0.015368	0.024044	-0.046555	-0.00017310	-0.0012605	-0.0010613	NaN
11.000	0.0000	0.0000	0.0000	0.0000	-0.054545	0.017694	0.88832	26.740	30.559	27.397	27.812	-0.029985	-0.012450	-0.065525	-0.00017813	0.00031323	-0.00033108	0.016483	0.023024	-0.051772	-0.00035892	-0.0012650	-0.0010872	NaN
11.999	0.0000	0.0000	0.0000	0.0000	-0.074013	0.054200	0.88719	26.734	30.593	27.408	27.822	-0.031942	-0.012494	-0.070179	-0.00020161	0.00035414	-0.00029977	0.015947	0.023502	-0.056183	-0.00034940	-0.0014291	-0.0010283	NaN
12.999	0.0000	0.0000	0.0000	0.0000	-0.046422	0.080922	0.89051	26.752	30.606	27.397	27.836	-0.032688	-0.013100	-0.074789	-0.00015329	0.00042665	-0.00028707	0.017193	0.028533	-0.058125	-0.00024262	-0.0014713	-0.0010649	NaN
14.000	0.0000	0.0000	0.0000	0.0000	-0.045533	0.034362	0.89020	26.761	30.639	27.434	27.840	-0.034129	-0.014255	-0.074846	-0.00018443	0.00039283	-0.00039560	0.017278	0.028811	-0.061217	-0.00035169	-0.0014128	-0.0011622	NaN
15.000	0.0000	0.0000	0.0000	0.0000	-0.019213	0.085514	0.89149	26.773	30.624	27.421	27.836	-0.035377	-0.014072	-0.075923	-0.00019424	0.00045855	-0.00048095	0.018515	0.029444	-0.066203	-0.00025571	-0.0014836	-0.0012431	NaN
15.999	0.0000	0.0000	0.0000	0.0000	-0.028184	-0.0056384	0.88869	26.780	30.621	27.409	27.812	-0.037629	-0.014056	-0.081033	-0.00024951	0.00053160	-0.00044238	0.020873	0.031193	-0.068604	-0.00029777	-0.0013607	-0.0011618	NaN
17.000	0.0000	0.0000	0.0000	0.0000	-0.010663	-0.036838	0.88910	26.794	30.665	27.398	27.837	-0.041079	-0.014431	-0.088097	-0.00032552	0.00059748	-0.00038721	0.021429	0.030426	-0.072296	-0.00027634	-0.0015155	-0.0012461	NaN
18.000	0.0000	0.0000	0.0000	0.0000	-0.028478	0.11451	0.89269	26.814	30.657	27.399	27.850	-0.041562	-0.014952	-0.092900	-0.00035098	0.00063962	-0.00038028	0.022439	0.031466	-0.073959	-0.00022328	-0.0016994	-0.0013032	NaN
18.999	0.0000	0.0000	0.0000	0.0000	0.040831	-0.053604	0.89020	26.851	30.674	27.425	27.848	-0.042069	-0.015731	-0.096919	-0.00022508	0.00066014	-0.00040102	0.021401	0.034227	-0.076533	-0.00015376	-0.0016290	-0.0013935	NaN
19.999	0.0000	0.0000	0.0000	0.0000	-0.030631	0.027675	0.89205	26.835	30.652	27.404	27.816	-0.043077	-0.015897	-0.096048	-0.00031136	0.00073140	-0.00048525	0.020172	0.034759	-0.085727	-0.00027850	-0.0018561	-0.0012223	NaN
20.999	0.0000	0.0000	0.0000	0.0000	0.0013286	-0.0036828	0.89300	26.848	30.711	27.407	27.835	-0.044571	-0.019038	-0.099685	-0.00029791	0.00066037	-0.00052097	0.021639	0.034759	-0.086362	-0.00029034	-0.0017175	-0.0014283	NaN
22.000	0.0000	0.0000	0.0000	0.0000	0.0068480	0.042031	0.89095	26.854	30.680	27.408	27.844	-0.044415	-0.019698	-0.10839	-0.00024196	0.00065438	-0.00039718	0.023813	0.037767	-0.085801	-0.00033030	-0.0015863	-0.0014775	NaN
23.000	0.0000	0.0000	0.0000	0.0000	0.028180	0.038195	0.89108	26.884	30.705	27.431	27.823	-0.046810	-0.019677	-0.10829	-0.00034770	0.00077574	-0.00048573	0.021657	0.036747	-0.089189	-0.00028269	-0.0016209	-0.0015161	NaN
23.999	0.0000	0.0000	0.0000	0.0000	-0.021351	0.070173	0.89106	26.863	30.693	27.414	27.841	-0.047327	-0.020299	-0.11030	-0.00038171	0.00078421	-0.00051417	0.017418	0.039330	-0.094014	-0.00060664	-0.0018738	-0.0014880	NaN
25.000	0.0000	0.0000	0.0000	0.0000	0.019711	-0.052691	0.89416	26.851	30.729	27.440	27.851	-0.048061	-0.020302	-0.11717	-0.00033442	0.00089295	-0.00051366	0.023468	0.038743	-0.093800	-0.00040866	-0.0017830	-0.0015335	NaN
26.000	0.0000	0.0000	0.0000	0.0000	-0.0013235	0.048620	0.88846	26.876	30.714	27.411	27.834	-0.049041	-0.022528	-0.11794	-0.00038930	0.00086450	-0.00054740	0.022269	0.039554	-0.093933	-0.00042024	-0.0018282	-0.0017057	NaN
27.000	0.0000	0.0000	0.0000	0.0000	0.028317	0.10070	0.89150	26.917	30.748	27.377	27.846	-0.050920	-0.023507	-0.11935	-0.00036894	0.00087544	-0.00060362	0.023582	0.040684	-0.098259	-0.00038421	-0.0018816	-0.0017218	NaN
27.999	0.0000	0.0000	0.0000	0.0000	-0.020909	0.033789	0.89158	26.922	30.749	27.397	27.828	-0.052168	-0.023673	-0.12521	-0.00042241	0.00095263	-0.00054288	0.023509	0.039405	-0.10461	-0.00041403	-0.0020402	-0.0016187	NaN
28.999	0.0000	0.0000	0.0000	0.0000	0.024468	0.036153	0.89221	26.907	30.731	27.385	27.799	-0.053078	-0.023327	-0.12751	-0.00040957	0.00097576	-0.00059556	0.022777	0.040489	-0.10792	-0.00032770	-0.0018807	-0.0017134	NaN
30.001	0.0000	0.0000	0.0000	0.0000	-0.039102	0.071083	0.89155	26.944	30.745	27.414	27.862	-0.052781	-0.024689	-0.13293	-0.00035485	0.0010387	-0.00056257	0.025595	0.042260	-0.10533	-0.00023823	-0.0018755	-0.0017516	NaN
